# Logfile created on 2014-10-14 00:01:13 +0800 by logger.rb/41954
00:01:13 | GET  | /dxcj/248/9498 | _500_ |  | 100ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/248 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:32 | GET  | /jsrc | _200_ |  | 8  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/256/9030 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:34 | GET  | /dxcj | _200_ |  | 42 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:36 | GET  | /dxcj/249 | _200_ |  | 109ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:38 | GET  | /dxcj/249/8660 | _200_ |  | 723ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/249 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:17:42 | GET  | /jsgc | _200_ |  | 91 ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/249/8660 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:13 | GET  | /dxcj | _200_ |  | 51 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:17 | GET  | /dxcj/286 | _200_ |  | 183ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:19 | GET  | /dxcj/286/8792 | _200_ |  | 737ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/286 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:26 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/286/8792 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:28 | GET  | /dxcj | _200_ |  | 42 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:30 | GET  | /dxcj/255 | _200_ |  | 183ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:32 | GET  | /dxcj/255/9705 | _200_ |  | 825ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/255 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:48 | GET  | /phb | _200_ |  | 1037ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:18:51 | GET  | /jsgc | _200_ |  | 67 ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:07 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:08 | GET  | /ccjl | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:10 | GET  | /dxcj | _200_ |  | 55 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:11 | GET  | /ccjl | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:18 | GET  | /ccjl | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:21 | GET  | /dxcj | _200_ |  | 42 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:22 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:24 | GET  | /jsgc | _200_ |  | 38 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:26 | GET  | /phb | _200_ |  | 610ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:27 | GET  | /dxcj | _200_ |  | 40 ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:19:28 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:09 | GET  | /zwh | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:33 | GET  | /zwh | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:37 | GET  | /tzgg | _200_ |  | 958ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:40 | GET  | /tzgg?page=2 | _200_ |  | 275ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:42 | GET  | /tzgg/162 | _200_ |  | 124ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:46 | GET  | /tzgg/154 | _200_ |  | 36 ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:49 | GET  | /tzgg?page=3 | _200_ |  | 359ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:51 | GET  | /tzgg?page=4 | _200_ |  | 414ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=3 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:20:53 | GET  | /ssxw | _200_ |  | 110ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=4 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:21:28 | GET  |  | _200_ |  | 5249ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:09 | GET  |  | _200_ |  | 6262ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:23 | GET  | /ssxw/103 | _200_ |  | 37 ms | 127.0.0.1 | localhost | http://localhost:3000/ | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:32 | GET  | /jsrc | _200_ |  | 8  ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw/103 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:37 | GET  | /jsgc | _200_ |  | 35 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:40 | GET  | /phb | _200_ |  | 608ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:41 | GET  | /dxcj | _200_ |  | 35 ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:43 | GET  | /dxcj/255 | _200_ |  | 103ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:45 | GET  | /dxcj/255/9704 | _200_ |  | 814ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/255 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:52 | GET  | /ccjl | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/255/9704 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:55 | GET  | /xzzx | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:22:55 | GET  | /ssjt | _200_ |  | 25 ms | 127.0.0.1 | localhost | http://localhost:3000/xzzx | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:36:51 | GET  | /ssjt | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:37:57 | GET  | /ssjt | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:38:27 | GET  | /ssjt | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:39:55 | GET  | /ssjt | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:40:06 | GET  | /ssjt | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:43:23 | GET  | /ssjt | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:44:34 | GET  | /ssjt | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:46:50 | GET  | /ssjt | _200_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:46:59 | GET  | /ssjt | _200_ |  | 9  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:47:32 | GET  | /ssjt | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:47:48 | GET  | /ssjt | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:49:59 | GET  | /ssjt | _200_ |  | 8  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:50:18 | GET  | /ssjt | _200_ |  | 12 ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:51:47 | GET  | /ssjt | _200_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:56:05 | GET  | /ssjt | _200_ |  | 11 ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:56:45 | GET  | /ssjt | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:59:03 | GET  | /ssjt | _200_ |  | 8  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
00:59:48 | GET  | /ssjt | _200_ |  | 9  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:00:15 | GET  | /xzzx | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:00:16 | GET  | /phb | _200_ |  | 607ms | 127.0.0.1 | localhost | http://localhost:3000/xzzx | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:00:20 | GET  | /ccjl | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:00:21 | GET  | /jsgc | _200_ |  | 49 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:00:58 | GET  | /jsgc | _200_ |  | 44 ms | 127.0.0.1 | localhost | http://localhost:3000/ccjl | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:01:00 | GET  | /jsgc/250 | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:01:00 | GET  | /jsgc/images/rule_22.png | _404_ |  | 15 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc/250 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:02:27 | GET  | /jsgc/250 | _200_ |  | 37 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:02:27 | GET  | /jsgc/images/rule_22.png | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc/250 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:04 | GET  | /jsgc/250 | _200_ |  | 35 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:26 | GET  | /jsgc/250 | _200_ |  | 34 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:33 | GET  | /jsgc | _200_ |  | 38 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc/250 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:34 | GET  | /jsgc/251 | _200_ |  | 40 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:40 | GET  | /jsgc | _200_ |  | 38 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc/251 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:42 | GET  | /jsgc/252 | _200_ |  | 40 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:44 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc/252 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:51 | GET  | /jsgc | _200_ |  | 75 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:52 | GET  | /jsgc/248 | _200_ |  | 40 ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:55 | GET  | /jsrc | _200_ |  | 7  ms | 127.0.0.1 | localhost | http://localhost:3000/jsgc/248 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:03:59 | GET  | /dxcj | _200_ |  | 36 ms | 127.0.0.1 | localhost | http://localhost:3000/jsrc | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:01 | GET  | /dxcj/255 | _200_ |  | 119ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:03 | GET  | /dxcj/255/9704 | _200_ |  | 491ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/255 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:15 | GET  | /ssxw | _200_ |  | 118ms | 127.0.0.1 | localhost | http://localhost:3000/dxcj/255/9704 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:19 | GET  | /tzgg | _200_ |  | 981ms | 127.0.0.1 | localhost | http://localhost:3000/ssxw | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:21 | GET  | /tzgg?page=2 | _200_ |  | 292ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:22 | GET  | /zwh | _200_ |  | 2  ms | 127.0.0.1 | localhost | http://localhost:3000/tzgg?page=2 | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:27 | GET  | /phb | _200_ |  | 608ms | 127.0.0.1 | localhost | http://localhost:3000/zwh | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:29 | GET  | /ssjt | _200_ |  | 6  ms | 127.0.0.1 | localhost | http://localhost:3000/phb | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:04:36 | GET  | /dhwj | _200_ |  | 25 ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:05:11 | GET  | /dhwj | _200_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:05:13 | GET  | /dahuiwenjian/%E5%A4%A7%E4%BC%9A%E6%96%87%E4%BB%B61.doc | _404_ |  | 4  ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:05:30 | GET  | /dhwj | _200_ |  | 3  ms | 127.0.0.1 | localhost | http://localhost:3000/ssjt | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
01:05:37 | GET  | /xzzx | _200_ |  | 5  ms | 127.0.0.1 | localhost | http://localhost:3000/dhwj | Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.124 Safari/537.36
